Model,CV_AUC,Spatial_AUC,Spatial_Std,F1,Brier,Composite,Rank,Hazard
RF,0.9939,0.9916115463483886,0.0081195743366229,0.9565217391304348,0.036150909025724,0.9970059666867872,1,Longsor
LightGBM,0.9945,0.9913826232247284,0.0067038555300348,0.9565217391304348,0.0378411557199338,0.9756514006418991,2,Longsor
XGBoost,0.9906,0.9811618206355048,0.0102082442469207,0.9333333333333332,0.0403449750564906,0.6432235735653868,3,Longsor
SVM,0.9784,0.9724717387875282,0.0210352627337935,0.9545454545454546,0.0447466851063303,0.6389055821477653,4,Longsor
LR,0.9444,0.9402102575786786,0.0414601053150587,0.9545454545454546,0.0473857047956738,0.1829545509160075,5,Longsor
RF,0.9333,0.948148148148148,0.040908744508101,1.0,0.0164374940838229,0.7350682227603246,1,Banjir
XGBoost,0.9333,0.9388888888888888,0.0437444881889545,1.0,0.0112560652068826,0.6787250749506246,2,Banjir
LR,0.8833,0.936026936026936,0.0559875055498851,1.0,0.0230212996722189,0.476506867022157,3,Banjir
LightGBM,0.95,0.9015752765752766,0.0066817312322309,1.0,0.0237328173060587,0.3441788791241067,4,Banjir
SVM,0.85,0.9114478114478116,0.0650781741212309,1.0,0.044783031586394,0.0847921534408802,5,Banjir
